timestep,avg_resource,min_resource,max_resource
21,69.128,0,100
22,69.400,5,100
23,69.764,4,100
24,70.260,3,100
25,70.505,2,100
26,70.799,8,100
27,70.943,7,100
28,71.089,6,100
29,71.373,8,100
30,71.897,7,100
31,72.077,6,100
32,72.248,9,100
33,72.399,8,100
34,72.506,7,100
35,72.794,6,100
36,73.059,5,100
37,73.304,4,100
38,73.674,3,100
39,73.713,2,100
40,73.810,1,100
41,74.010,0,100
42,74.126,0,100
43,74.192,0,100
44,74.415,0,100
45,74.625,0,100
46,74.990,0,100
47,75.252,0,100
48,75.429,0,100
49,75.527,0,100
50,75.632,0,100
51,75.753,3,100
52,75.850,5,100
53,75.877,4,100
54,76.037,3,100
55,76.074,8,100
56,76.072,16,100
57,76.259,15,100
58,76.340,14,100
59,76.392,13,100
60,76.532,12,100
61,76.559,11,100
62,76.528,10,100
63,76.522,9,100
64,76.818,8,100
65,76.945,9,100
66,76.984,8,100
67,77.120,7,100
68,77.213,6,100
69,77.404,5,100
70,77.491,4,100
71,77.627,4,100
72,77.758,3,100
73,77.683,2,100
74,77.755,1,100
75,77.878,0,100
76,77.906,0,100
77,77.874,0,100
78,77.907,0,100
79,77.785,0,100
80,77.850,0,100
81,77.975,0,100
82,78.004,0,100
83,77.832,0,100
84,77.754,13,100
85,77.798,20,100
86,77.698,19,100
87,77.946,19,100
88,77.913,18,100
89,78.103,17,100
90,78.142,16,100
91,78.227,15,100
92,78.451,14,100
93,78.444,13,100
94,78.440,12,100
95,78.448,11,100
96,78.582,10,100
97,78.609,9,100
98,78.690,8,100
99,78.616,17,100
100,78.532,16,100
1,60.546,19,100
2,61.178,18,100
3,61.765,17,100
4,62.130,16,100
5,62.700,15,100
6,63.189,14,100
7,63.726,13,100
8,64.101,12,100
9,64.587,11,100
10,64.988,10,100
11,65.394,9,100
12,65.928,8,100
13,66.353,7,100
14,66.658,6,100
15,67.261,5,100
